name,event,time
Waylon,joined,2021-02-23 18:44:48.721000+00:00
Ashanti,left,2021-02-23 18:45:40.141000+00:00
Ashanti,joined,2021-02-23 18:45:47.852000+00:00
Haven,joined,2021-02-23 18:46:57.072000+00:00
Benjamin,joined,2021-02-23 18:47:35.047000+00:00
Augustus,left,2021-02-23 18:49:35.284000+00:00
Benjamin,left,2021-02-23 18:50:21.203000+00:00
Abagail,joined,2021-02-23 18:52:49.729000+00:00
Abagail,left,2021-02-23 18:57:52.810000+00:00
Jasmin,left,2021-02-23 18:59:02.955000+00:00
Ashanti,left,2021-02-23 18:59:48.496000+00:00
Augustus,joined,2021-02-23 19:04:11.735000+00:00
Ashanti,joined,2021-02-23 19:04:37.482000+00:00
Dashawn,left,2021-02-23 19:05:24.049000+00:00
Augustus,left,2021-02-23 19:05:43.517000+00:00
Augustus,joined,2021-02-23 19:05:44.461000+00:00
Jamal,left,2021-02-23 19:09:16.531000+00:00
Preston,left,2021-02-23 19:14:22.916000+00:00
Preston,joined,2021-02-23 19:14:24.633000+00:00
Haven,left,2021-02-23 19:15:25.400000+00:00
Preston,left,2021-02-23 19:23:01.455000+00:00
Easton,left,2021-02-23 19:25:04.420000+00:00
Abram,left,2021-02-23 19:25:32.498000+00:00
Kathy,left,2021-02-23 19:28:10.813000+00:00
Josephine,left,2021-02-23 19:28:38.867000+00:00
Preston,joined,2021-02-23 19:29:28.239000+00:00
Augustus,left,2021-02-23 19:30:50.479000+00:00
Ariana,left,2021-02-23 19:31:44.356000+00:00
Waylon,left,2021-02-23 19:33:48.725000+00:00
Preston,left,2021-02-23 19:38:18.753000+00:00
Ashanti,left,2021-02-23 19:38:21.748000+00:00
Jamya,left,2021-02-23 19:48:47.011000+00:00
Dashawn,joined,2021-02-23 19:56:22.674000+00:00
Augustus,joined,2021-02-23 20:06:49.685000+00:00
Augustus,left,2021-02-23 20:07:29.747000+00:00
Dashawn,left,2021-02-23 20:52:19.261000+00:00
Marlon,left,2021-02-23 21:02:51.756000+00:00
Edward,left,2021-02-23 21:08:50.183000+00:00
Melina,joined,2021-02-25 19:01:34.799000+00:00
Jamya,joined,2021-02-25 19:01:37.269000+00:00
Ariana,joined,2021-02-25 19:01:46.508000+00:00
Easton,joined,2021-02-25 19:02:07.042000+00:00
Dashawn,joined,2021-02-25 19:02:13.785000+00:00
Abram,joined,2021-02-25 19:02:28.503000+00:00
Preston,joined,2021-02-25 19:02:29.734000+00:00
Benjamin,joined,2021-02-25 19:02:38.831000+00:00
Kathy,joined,2021-02-25 19:03:09.659000+00:00
Vance,joined,2021-02-25 19:04:22.048000+00:00
Abagail,joined,2021-02-25 19:04:29.322000+00:00
Joaquin,joined,2021-02-25 19:05:32.417000+00:00
Jamal,joined,2021-02-25 19:10:35.893000+00:00
Augustus,joined,2021-02-25 19:11:00.374000+00:00
Augustus,left,2021-02-25 19:11:32.382000+00:00
Vance,left,2021-02-25 19:15:31.551000+00:00
Melina,left,2021-02-25 19:21:26.170000+00:00
Melina,joined,2021-02-25 19:21:35.476000+00:00
Melina,left,2021-02-25 19:21:38.702000+00:00
Abagail,left,2021-02-25 19:25:13.968000+00:00
Abagail,joined,2021-02-25 19:25:19.452000+00:00
Easton,left,2021-02-25 19:31:10.001000+00:00
Abram,left,2021-02-25 19:31:28.118000+00:00
Joaquin,left,2021-02-25 19:31:28.761000+00:00
Dashawn,left,2021-02-25 19:33:45.979000+00:00
Abagail,left,2021-02-25 19:33:57.926000+00:00
Preston,left,2021-02-25 19:34:51.966000+00:00
Benjamin,left,2021-02-25 19:35:05.687000+00:00
Ashanti,joined,2021-02-25 19:37:29.507000+00:00
Ashanti,left,2021-02-25 19:41:21.277000+00:00
Melina,joined,2021-02-25 20:32:27.819000+00:00
Kathy,left,2021-02-25 20:36:57.941000+00:00
Kathy,joined,2021-02-25 20:36:59.712000+00:00
Jamya,left,2021-02-25 20:37:11.169000+00:00
Jamya,joined,2021-02-25 20:37:13.417000+00:00
Jamal,left,2021-02-25 21:01:50.157000+00:00
Melina,left,2021-02-25 21:06:18.156000+00:00
Jamya,left,2021-02-25 22:03:12.998000+00:00
Jasmin,joined,2021-02-25 22:12:57.359000+00:00
Jasmin,left,2021-02-25 22:26:01.338000+00:00
Kathy,left,2021-02-25 22:28:27.914000+00:00
Ariana,left,2021-02-25 22:28:29.235000+00:00
Edward,joined,2021-03-03 02:39:11.794000+00:00
Omar,joined,2021-03-03 02:40:01.524000+00:00
Omar,left,2021-03-03 02:40:54.202000+00:00
Edward,left,2021-03-03 07:30:08.939000+00:00
Ariana,joined,2021-03-03 15:10:35.439000+00:00
Kathy,joined,2021-03-03 15:15:09.485000+00:00
Jasmin,joined,2021-03-03 16:18:56.248000+00:00
Jasmin,left,2021-03-03 16:26:24.560000+00:00
Kathy,left,2021-03-03 16:46:04.138000+00:00
Ariana,left,2021-03-03 16:46:09.347000+00:00
Kathy,joined,2021-03-03 18:36:17.792000+00:00
Kathy,left,2021-03-03 18:36:22.332000+00:00
Ariana,joined,2021-03-03 18:40:58.144000+00:00
Ariana,left,2021-03-03 18:42:04.314000+00:00
Ariana,joined,2021-03-04 19:17:14.419000+00:00
Jamya,joined,2021-03-04 19:17:24.680000+00:00
Abram,joined,2021-03-04 19:17:56.848000+00:00
Jasmin,joined,2021-03-04 19:18:06.973000+00:00
Easton,joined,2021-03-04 19:18:22.900000+00:00
Preston,joined,2021-03-04 19:19:16.201000+00:00
Marlon,joined,2021-03-04 19:19:42.931000+00:00
Marlon,left,2021-03-04 19:20:10.492000+00:00
Easton,left,2021-03-04 19:20:54.381000+00:00
Jamal,joined,2021-03-04 19:21:09.298000+00:00
Jamal,left,2021-03-04 19:22:25.243000+00:00
Jamal,joined,2021-03-04 19:22:43.174000+00:00
Abram,left,2021-03-04 19:27:01.513000+00:00
Benjamin,joined,2021-03-04 19:30:29.244000+00:00
Abagail,joined,2021-03-04 19:35:18.932000+00:00
Preston,left,2021-03-04 19:42:43.215000+00:00
Abagail,left,2021-03-04 19:51:34.375000+00:00
Benjamin,left,2021-03-04 19:51:55.697000+00:00
Abagail,joined,2021-03-04 19:53:02.256000+00:00
Jasmin,left,2021-03-04 19:54:45.312000+00:00
Jamya,left,2021-03-04 19:56:58.571000+00:00
Jamya,joined,2021-03-04 19:56:59.760000+00:00
Abagail,left,2021-03-04 20:09:18.848000+00:00
Abagail,joined,2021-03-04 20:09:28.840000+00:00
Ariana,left,2021-03-04 21:12:59.187000+00:00
Benjamin,joined,2021-03-04 21:42:15.847000+00:00
Sean,joined,2021-03-04 21:45:38.052000+00:00
Benjamin,left,2021-03-04 21:47:01.265000+00:00
Jamya,left,2021-03-04 21:49:51.801000+00:00
Sean,left,2021-03-04 21:49:55.430000+00:00
Jamya,joined,2021-03-04 21:52:19.931000+00:00
Jamya,left,2021-03-04 22:00:31.894000+00:00
Jamal,left,2021-03-04 22:00:44.445000+00:00
Abagail,left,2021-03-05 00:44:42.650000+00:00
